scene,subset,n_bands,parameter,r_squared_mean,r_squared_sd,relative_rmse_pct_mean,relative_rmse_pct_sd
04_Denmark,+ SWIR window ±50 nm,45,Cw,0.8477794332859965,0.015108819629338063,11.251286145818126,0.5524292051176484
04_Denmark,+ SWIR window ±50 nm,45,LAI,0.3651150281485332,0.03380248422532621,22.996743639567775,0.6222007861628914
04_Denmark,+ SWIR window ±50 nm,45,N,0.049203913250351075,0.09724189725410383,28.118163032199597,1.426538536109991
04_Denmark,5-band multispectral (no SWIR),5,Ant,0.48342893747245796,0.04670892299386303,20.72933426832376,0.9266583079158273
04_Denmark,5-band multispectral (no SWIR),5,Cab,0.9027621487396245,0.010482325756418175,8.990471251126426,0.48745958085131114
04_Denmark,5-band multispectral (no SWIR),5,Car,-0.8257626042751973,0.16332436212332374,38.973895226402725,1.736043422664875
04_Denmark,5-band multispectral (no SWIR),5,Cm,0.28374249442002536,0.08715367941077443,24.38970692253974,1.4630654410282493
04_Denmark,5-band multispectral (no SWIR),5,Cw,-1.015025521892212,0.12743586345474817,40.96254393444961,1.281099114425243
04_Denmark,5-band multispectral (no SWIR),5,LAI,0.12178190736334304,0.07579909436345578,27.032839316476363,1.1826829576120426
04_Denmark,5-band multispectral (no SWIR),5,N,-0.05796537954368998,0.06731370002002954,29.68148277833198,0.9386311533517284
04_Denmark,Full hyperspectral (valid bands),366,Ant,0.025904416359475557,0.061915202555551004,28.478657881717037,0.8953554729326352
04_Denmark,Full hyperspectral (valid bands),366,Cab,0.8771209632597582,0.014726394412060266,10.104168238021861,0.5918704640359456
04_Denmark,Full hyperspectral (valid bands),366,Car,-0.4210437605581057,0.11252581917781673,34.39080620190558,1.3402672628645955
04_Denmark,Full hyperspectral (valid bands),366,Cm,0.691437332541964,0.022035348684657174,16.02497402077661,0.5719117011995166
04_Denmark,Full hyperspectral (valid bands),366,Cw,0.8840762921043301,0.010247965402825628,9.82083277443281,0.4304366389298898
04_Denmark,Full hyperspectral (valid bands),366,LAI,0.5280431104366785,0.05438559619362875,19.803816691255825,1.1565330279931512
04_Denmark,Full hyperspectral (valid bands),366,N,0.2392518531585698,0.05751698957115433,25.164118769829635,0.9535789849529388
